#{"t_start": 1749007907.105998, "env_id": "None"}
r,l,t,current_walls,walls_broken
590.0,29,0.583326,58,3
85.0,8,0.584072,61,4
-110.0,6,0.584597,63,2
-5.0,5,0.585112,63,2
-15.0,8,0.586165,63,2
20.0,10,0.587048,62,3
-5.0,5,0.58752,63,2
55.0,11,0.588477,61,4
-10.0,5,0.589387,63,2
-10.0,31,0.591856,62,3
50.0,6,0.592433,62,3
-15.0,8,0.593139,63,2
-10.0,6,0.59403,63,2
45.0,23,0.595919,62,3
45.0,23,0.597769,62,3
55.0,13,0.59889,63,2
-95.0,44,0.602944,63,2
65.0,13,0.604053,63,2
-5.0,21,0.605758,61,4
85.0,9,0.606591,63,2
75.0,9,0.607698,63,2
-25.0,10,0.608582,63,2
-15.0,14,0.60985,62,3
105.0,17,0.611231,62,3
5.0,12,0.612497,62,3
-10.0,5,0.612964,63,2
5.0,11,0.613897,62,3
0.0,5,0.614374,63,2
35.0,18,0.616142,63,2
80.0,7,0.61681,61,4
90.0,5,0.617294,61,4
-15.0,7,0.617919,63,2
40.0,8,0.618907,62,3
-10.0,9,0.619671,63,2
30.0,8,0.620372,62,3
85.0,16,0.622031,62,3
-25.0,9,0.623153,63,2
-10.0,8,0.623875,63,2
-10.0,5,0.624342,63,2
155.0,17,0.625879,61,4
-15.0,6,0.626703,63,2
-15.0,6,0.627279,63,2
-10.0,12,0.628283,62,3
15.0,10,0.629126,62,3
-15.0,5,0.629865,63,2
-115.0,8,0.630588,63,2
-25.0,9,0.63145,63,2
0.0,12,0.632563,62,3
-15.0,9,0.633624,63,2
-15.0,7,0.634261,63,2
-15.0,7,0.63486,63,2
5.0,13,0.635967,62,3
25.0,9,0.63714,62,3
40.0,16,0.638529,61,4
-35.0,11,0.640076,63,2
-15.0,6,0.640618,63,2
80.0,9,0.641738,63,2
155.0,12,0.642785,61,4
55.0,11,0.643735,63,2
40.0,15,0.644979,63,2
0.0,12,0.646362,62,3
-20.0,6,0.646966,63,2
20.0,10,0.647836,62,3
-115.0,8,0.648524,63,2
35.0,8,0.649539,62,3
0.0,19,0.651196,62,3
0.0,11,0.652765,62,3
-105.0,5,0.653341,63,2
35.0,7,0.654314,62,3
90.0,5,0.654846,61,4
35.0,6,0.65545,62,3
40.0,24,0.657361,62,3
-120.0,6,0.658247,63,2
25.0,10,0.659421,62,3
95.0,6,0.660005,61,4
85.0,8,0.660737,61,4
40.0,8,0.661783,62,3
-10.0,5,0.662264,63,2
110.0,12,0.663292,62,3
-5.0,11,0.664754,62,3
25.0,8,0.666014,62,3
-20.0,6,0.66658,63,2
-110.0,5,0.667046,63,2
-15.0,8,0.66776,63,2
95.0,6,0.668651,61,4
-120.0,6,0.669208,63,2
-5.0,5,0.669713,63,2
-15.0,9,0.670486,63,2
70.0,10,0.671617,63,2
-45.0,11,0.672566,63,2
45.0,6,0.673138,62,3
0.0,12,0.674133,62,3
115.0,25,0.676825,61,4
20.0,10,0.677695,62,3
30.0,8,0.678414,62,3
35.0,8,0.679119,62,3
95.0,7,0.680169,61,4
40.0,6,0.680757,62,3
85.0,10,0.681616,63,2
40.0,6,0.682269,62,3
35.0,14,0.683737,63,2
125.0,10,0.68462,62,3
30.0,7,0.685283,62,3
5.0,14,0.686522,62,3
50.0,22,0.688723,62,3
100.0,11,0.689684,62,3
-15.0,5,0.690147,63,2
-120.0,24,0.692033,63,2
45.0,6,0.692907,62,3
460.0,15,0.694315,59,3
140.0,15,0.69555,61,4
50.0,14,0.697037,63,2
-120.0,7,0.698024,63,2
0.0,25,0.700145,63,2
45.0,23,0.702009,62,3
-60.0,13,0.703091,63,2
30.0,6,0.703997,62,3
-15.0,20,0.705751,62,3
35.0,7,0.706424,62,3
35.0,6,0.706995,62,3
95.0,15,0.708583,62,3
-20.0,10,0.709457,63,2
30.0,8,0.710153,62,3
25.0,9,0.710987,62,3
-15.0,5,0.711753,63,2
360.0,36,0.714705,59,3
95.0,17,0.716106,62,3
85.0,9,0.71692,63,2
40.0,7,0.717853,62,3
195.0,31,0.720351,61,1
90.0,5,0.721114,61,4
-10.0,5,0.721685,63,2
-15.0,5,0.722473,63,2
-110.0,5,0.722973,63,2
25.0,7,0.723618,62,3
60.0,13,0.72469,63,2
20.0,10,0.72586,62,3
-110.0,5,0.726325,63,2
25.0,7,0.727033,62,3
-35.0,11,0.727973,63,2
30.0,9,0.729033,62,3
85.0,10,0.729944,61,4
0.0,5,0.730473,63,2
-5.0,5,0.730949,63,2
20.0,22,0.733003,63,2
95.0,5,0.733519,61,4
-10.0,7,0.734118,63,2
55.0,26,0.736165,62,3
100.0,7,0.737103,61,4
-20.0,7,0.737988,63,2
-5.0,11,0.739031,62,3
45.0,15,0.740294,61,4
-5.0,6,0.741164,63,2
20.0,9,0.741988,62,3
85.0,8,0.742687,63,2
85.0,7,0.743312,61,4
60.0,21,0.745335,62,3
25.0,9,0.746126,62,3
110.0,16,0.747474,62,3
25.0,9,0.748254,62,3
50.0,17,0.750694,63,2
135.0,10,0.751588,62,3
300.0,32,0.754162,59,3
-140.0,34,0.756783,63,2
5.0,11,0.75809,62,3
-15.0,8,0.758818,63,2
35.0,7,0.759572,62,3
75.0,8,0.760399,61,4
-110.0,5,0.761176,63,2
-105.0,5,0.761955,63,2
-10.0,5,0.762498,63,2
-5.0,6,0.763124,63,2
90.0,5,0.763961,61,4
-5.0,6,0.764538,63,2
-25.0,10,0.765381,63,2
0.0,15,0.766693,62,3
25.0,10,0.767895,62,3
20.0,10,0.768757,62,3
40.0,6,0.769328,62,3
-15.0,12,0.770341,62,3
95.0,5,0.771108,61,4
550.0,23,0.773056,59,3
-15.0,5,0.773522,63,2
-10.0,8,0.774222,63,2
-55.0,22,0.776441,62,3
-10.0,5,0.77697,63,2
5.0,12,0.778052,62,3
30.0,7,0.778677,62,3
0.0,15,0.780657,62,3
65.0,12,0.781686,61,4
0.0,13,0.782764,62,3
25.0,9,0.78356,62,3
45.0,15,0.785196,63,2
-105.0,5,0.785699,63,2
55.0,12,0.786723,61,4
-5.0,13,0.787807,62,3
-20.0,8,0.78892,63,2
130.0,10,0.789856,62,3
-10.0,15,0.791104,62,3
-15.0,6,0.791671,63,2
90.0,7,0.792587,61,4
80.0,10,0.793451,63,2
85.0,16,0.79481,62,3
40.0,7,0.795472,62,3
-110.0,6,0.796312,63,2
655.0,27,0.798676,58,1
5.0,12,0.799683,62,3
40.0,6,0.800559,62,3
45.0,14,0.802098,63,2
-25.0,8,0.802806,63,2
40.0,6,0.803344,62,3
70.0,19,0.804894,62,3
-15.0,5,0.805701,63,2
-45.0,12,0.80671,63,2
-10.0,9,0.807498,63,2
65.0,26,0.809653,62,3
45.0,7,0.810624,62,3
-20.0,19,0.812248,62,3
